iter	Passed	Remaining
0	0	82
1	1	88
2	2	86
3	3	84
4	4	81
5	5	79
6	5	76
7	6	74
8	7	71
9	7	70
10	8	68
11	9	66
12	9	65
13	10	64
14	11	64
15	12	63
16	12	62
17	13	61
18	14	60
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	55
25	19	54
26	19	53
27	20	53
28	21	52
29	22	51
30	22	50
31	23	49
32	24	49
33	24	48
34	25	47
35	26	47
36	27	46
37	27	45
38	28	44
39	29	43
40	29	42
41	30	42
42	31	41
43	31	40
44	32	39
45	33	38
46	33	38
47	34	37
48	35	36
49	35	35
50	36	35
51	37	34
52	38	33
53	38	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	48	23
67	48	22
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	14
79	57	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	70	0
